Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2015-04-11,Sat,La Liga,Matchweek 31,Home,W 3–0,Real Madrid,Eibar,Y,,90,1,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-04-14,Tue,Champions Lg,Quarter-finals,Away,D 0–0,es Real Madrid,es Atlético Madrid,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-04-18,Sat,La Liga,Matchweek 32,Home,W 3–1,Real Madrid,Málaga,Y,,90,1,1,0,1,,,0,0,,,,,,,0,,,Match Report
2015-04-22,Wed,Champions Lg,Quarter-finals,Home,W 1–0,es Real Madrid,es Atlético Madrid,Y,,90,0,1,0,0,,,0,0,,,,,,,0,,,Match Report
2015-04-26,Sun,La Liga,Matchweek 33,Away,W 4–2,Real Madrid,Celta Vigo,Y,,90,0,1,0,0,,,0,0,,,,,,,0,,,Match Report
2015-04-29,Wed,La Liga,Matchweek 34,Home,W 3–0,Real Madrid,Almería,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-05-02,Sat,La Liga,Matchweek 35,Away,W 3–2,Real Madrid,Sevilla,Y,,90,3,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-05-05,Tue,Champions Lg,Semi-finals,Away,L 1–2,es Real Madrid,it Juventus,Y,,90,1,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-05-09,Sat,La Liga,Matchweek 36,Home,D 2–2,Real Madrid,Valencia,Y,,90,0,0,0,1,,,0,0,,,,,,,0,,,Match Report
2015-05-13,Wed,Champions Lg,Semi-finals,Home,D 1–1,es Real Madrid,it Juventus,Y,,90,1,0,1,1,,,0,0,,,,,,,0,,,Match Report
2015-05-17,Sun,La Liga,Matchweek 37,Away,W 4–1,Real Madrid,Espanyol,Y,,90,3,1,0,0,,,0,0,,,,,,,0,,,Match Report
2015-05-23,Sat,La Liga,Matchweek 38,Home,W 7–3,Real Madrid,Getafe,Y,,57,3,0,1,1,,,0,0,,,,,,,0,,,Match Report
