Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2023-03-09,Thu,Pro League,Matchweek 20,Away,L 0–1,Al-Nassr,Al-Ittihad,Y*,FW,90,0,0,0,0,3,1,0,0,1,2,1,1,0,0,0,,,Match Report
2023-03-18,Sat,Pro League,Matchweek 21,Home,W 2–1,Al-Nassr,Abha,Y*,FW,90,1,0,0,0,4,2,0,0,0,1,1,1,0,0,0,,,Match Report
2023-04-04,Tue,Pro League,Matchweek 22,Away,W 5–0,Al-Nassr,Al-Adalah,Y*,FW,90,2,0,1,1,2,2,0,0,0,0,4,0,0,0,0,,,Match Report
2023-04-09,Sun,Pro League,Matchweek 23,Away,D 0–0,Al-Nassr,Al-Fayha,Y*,FW,90,0,0,0,0,4,1,0,0,1,0,4,1,0,0,0,,,Match Report
2023-04-18,Tue,Pro League,Matchweek 25,Away,L 0–2,Al-Nassr,Al-Hilal,Y*,FW,90,0,0,0,0,4,0,1,0,1,3,1,0,1,1,0,,,Match Report
2023-04-28,Fri,Pro League,Matchweek 24,Home,W 4–0,Al-Nassr,Al-Raed,Y*,FW,90,1,0,0,0,4,2,0,0,1,0,3,0,0,0,0,,,Match Report
2023-05-08,Mon,Pro League,Matchweek 26,Home,D 1–1,Al-Nassr,Al-Khaleej,Y*,FW,90,0,0,0,0,8,2,0,0,0,4,1,1,0,2,0,,,Match Report
2023-05-16,Tue,Pro League,Matchweek 27,Away,W 2–0,Al-Nassr,Al-Ta'ee,Y*,FW,90,1,0,1,1,5,3,1,0,2,1,2,0,0,0,0,,,Match Report
2023-05-23,Tue,Pro League,Matchweek 28,Home,W 3–2,Al-Nassr,Al-Shabab,Y*,FW,90,1,0,0,0,4,1,0,0,1,1,2,1,0,0,0,,,Match Report
2023-05-27,Sat,Pro League,Matchweek 29,Away,D 1–1,Al-Nassr,Al-Ettifaq,Y*,FW,83,0,0,0,0,8,4,0,0,0,2,0,2,0,0,0,,,Match Report
