Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2004-08-21,Sat,Premier League,Matchweek 2,Home,W 2–1,Manchester Utd,Norwich City,N,,6,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2004-08-25,Wed,Champions Lg,Third qualifying round,Home,W 3–0,eng Manchester Utd,ro D'mo București,Y,,63,0,,0,,,,0,0,,,,,,,0,,,Match Report
2004-08-28,Sat,Premier League,Matchweek 4,Away,D 1–1,Manchester Utd,Blackburn,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2004-08-30,Mon,Premier League,Matchweek 3,Home,D 0–0,Manchester Utd,Everton,Y,,80,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2004-09-11,Sat,Premier League,Matchweek 5,Away,D 2–2,Manchester Utd,Bolton,N,,27,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2004-09-15,Wed,Champions Lg,Group stage,Away,D 2–2,eng Manchester Utd,fr Lyon,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2004-09-20,Mon,Premier League,Matchweek 6,Home,W 2–1,Manchester Utd,Liverpool,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2004-09-25,Sat,Premier League,Matchweek 7,Away,W 1–0,Manchester Utd,Tottenham,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2004-10-03,Sun,Premier League,Matchweek 8,Home,D 1–1,Manchester Utd,Middlesbrough,Y,,90,0,1,0,,,,0,0,,,,,,,0,,,Match Report
2004-10-16,Sat,Premier League,Matchweek 9,Away,D 0–0,Manchester Utd,Birmingham City,Y,,76,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2004-10-19,Tue,Champions Lg,Group stage,Away,D 0–0,eng Manchester Utd,cz Sparta Prague,N,,11,0,,0,,,,0,0,,,,,,,0,,,Match Report
2004-10-24,Sun,Premier League,Matchweek 10,Home,W 2–0,Manchester Utd,Arsenal,Y,,84,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2004-10-30,Sat,Premier League,Matchweek 11,Away,L 0–2,Manchester Utd,Portsmouth,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2004-11-03,Wed,Champions Lg,Group stage,Home,W 4–1,eng Manchester Utd,cz Sparta Prague,Y,,68,0,,0,,,,0,0,,,,,,,0,,,Match Report
2004-11-07,Sun,Premier League,Matchweek 12,Home,D 0–0,Manchester Utd,Manchester City,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2004-11-14,Sun,Premier League,Matchweek 13,Away,W 3–1,Manchester Utd,Newcastle,Y,,82,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2004-11-23,Tue,Champions Lg,Group stage,Home,W 2–1,eng Manchester Utd,fr Lyon,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2004-11-27,Sat,Premier League,Matchweek 15,Away,W 3–0,Manchester Utd,West Brom,N,,19,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2004-12-04,Sat,Premier League,Matchweek 16,Home,W 3–0,Manchester Utd,Southampton,Y,,90,1,0,0,,,,0,0,,,,,,,0,,,Match Report
2004-12-08,Wed,Champions Lg,Group stage,Away,L 0–3,eng Manchester Utd,tr Fenerbahçe,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2004-12-13,Mon,Premier League,Matchweek 17,Away,D 1–1,Manchester Utd,Fulham,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2004-12-26,Sun,Premier League,Matchweek 19,Home,W 2–0,Manchester Utd,Bolton,Y,,68,0,1,0,,,,0,0,,,,,,,0,,,Match Report
2004-12-28,Tue,Premier League,Matchweek 20,Away,W 1–0,Manchester Utd,Aston Villa,N,,30,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2005-01-01,Sat,Premier League,Matchweek 21,Away,W 2–0,Manchester Utd,Middlesbrough,Y,,77,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2005-01-04,Tue,Premier League,Matchweek 22,Home,D 0–0,Manchester Utd,Tottenham,Y,,83,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2005-01-15,Sat,Premier League,Matchweek 23,Away,W 1–0,Manchester Utd,Liverpool,Y,,66,0,1,0,,,,0,0,,,,,,,0,,,Match Report
2005-01-22,Sat,Premier League,Matchweek 24,Home,W 3–1,Manchester Utd,Aston Villa,Y,,90,1,0,0,,,,1,0,,,,,,,0,,,Match Report
2005-02-01,Tue,Premier League,Matchweek 25,Away,W 4–2,Manchester Utd,Arsenal,Y,,69,2,0,0,,,,1,0,,,,,,,0,,,Match Report
