Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2018-08-18,Sat,Serie A,Matchweek 1,Away,W 3–2,Juventus,Chievo,Y,FW,90,0,0,0,0,8,4,0,0,1,2,0,4,0,0,0,0,0,Match Report
2018-08-25,Sat,Serie A,Matchweek 2,Home,W 2–0,Juventus,Lazio,Y,FW,90,0,1,0,0,5,3,0,0,0,3,0,1,1,0,0,0,0,Match Report
2018-09-01,Sat,Serie A,Matchweek 3,Away,W 2–1,Juventus,Parma,Y,FW,90,0,0,0,0,8,1,0,0,1,1,0,1,0,0,0,0,0,Match Report
2018-09-16,Sun,Serie A,Matchweek 4,Home,W 2–1,Juventus,Sassuolo,Y,FW,90,2,0,0,0,9,3,0,0,1,1,1,2,0,0,0,0,0,Match Report
2018-09-19,Wed,Champions Lg,Group stage,Away,W 2–0,it Juventus,es Valencia,Y,FW,28,0,0,0,0,2,0,0,1,0,1,0,2,0,0,0,0,0,Match Report
2018-09-23,Sun,Serie A,Matchweek 5,Away,W 2–0,Juventus,Frosinone,Y,FW,90,1,0,0,0,10,5,0,0,0,2,0,1,1,0,0,0,0,Match Report
2018-09-26,Wed,Serie A,Matchweek 6,Home,W 2–0,Juventus,Bologna,Y,FW,90,0,1,0,0,4,1,0,0,0,1,2,1,0,0,0,0,0,Match Report
2018-09-29,Sat,Serie A,Matchweek 7,Home,W 3–1,Juventus,Napoli,Y,FW,90,0,2,0,0,8,5,0,0,0,2,2,2,0,0,0,0,0,Match Report
2018-10-06,Sat,Serie A,Matchweek 8,Away,W 2–0,Juventus,Udinese,Y,FW,90,1,0,0,0,7,3,0,0,3,1,0,3,0,1,0,0,0,Match Report
2018-10-20,Sat,Serie A,Matchweek 9,Home,D 1–1,Juventus,Genoa,Y,FW,90,1,0,0,0,11,3,0,0,1,1,0,0,0,0,0,0,0,Match Report
2018-10-23,Tue,Champions Lg,Group stage,Away,W 1–0,it Juventus,eng Manchester Utd,Y,FW,90,0,0,0,0,3,2,0,0,1,4,0,2,1,0,0,0,0,Match Report
2018-10-27,Sat,Serie A,Matchweek 10,Away,W 2–1,Juventus,Empoli,Y,FW,90,2,0,1,1,6,3,0,0,1,2,0,1,0,0,0,0,0,Match Report
2018-11-03,Sat,Serie A,Matchweek 11,Home,W 3–1,Juventus,Cagliari,Y,FW,90,0,1,0,0,5,0,0,0,0,1,2,2,0,0,0,0,0,Match Report
2018-11-07,Wed,Champions Lg,Group stage,Home,L 1–2,it Juventus,eng Manchester Utd,Y,FW,90,1,0,0,0,8,1,0,0,0,2,0,3,0,0,0,0,0,Match Report
2018-11-11,Sun,Serie A,Matchweek 12,Away,W 2–0,Juventus,Milan,Y,FW,90,1,0,0,0,5,3,0,0,0,2,1,4,0,0,0,0,0,Match Report
2018-11-24,Sat,Serie A,Matchweek 13,Home,W 2–0,Juventus,SPAL,Y,FW,90,1,0,0,0,5,2,0,0,1,3,2,2,0,0,0,0,0,Match Report
