Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2007-08-12,Sun,Premier League,Matchweek 1,Home,D 0–0,Manchester Utd,Reading,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2007-08-15,Wed,Premier League,Matchweek 2,Away,D 1–1,Manchester Utd,Portsmouth,Y,,84,0,0,0,,,,0,1,,,,,,,0,,,Match Report
2007-09-15,Sat,Premier League,Matchweek 6,Away,W 1–0,Manchester Utd,Everton,Y,,90,0,0,0,,,,1,0,,,,,,,0,,,Match Report
2007-09-19,Wed,Champions Lg,Group stage,Away,W 1–0,eng Manchester Utd,pt Sporting CP,Y,,86,1,,0,,,,0,0,,,,,,,0,,,Match Report
2007-09-23,Sun,Premier League,Matchweek 7,Home,W 2–0,Manchester Utd,Chelsea,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2007-09-29,Sat,Premier League,Matchweek 8,Away,W 1–0,Manchester Utd,Birmingham City,Y,,90,1,0,0,,,,0,0,,,,,,,0,,,Match Report
2007-10-02,Tue,Champions Lg,Group stage,Home,W 1–0,eng Manchester Utd,it Roma,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2007-10-06,Sat,Premier League,Matchweek 9,Home,W 4–0,Manchester Utd,Wigan Athletic,Y,,90,2,0,0,,,,0,0,,,,,,,0,,,Match Report
2007-10-20,Sat,Premier League,Matchweek 10,Away,W 4–1,Manchester Utd,Aston Villa,N,,14,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2007-10-23,Tue,Champions Lg,Group stage,Away,W 4–2,eng Manchester Utd,ua Dynamo Kyiv,Y,,90,2,,1,,,,0,0,,,,,,,0,,,Match Report
2007-10-27,Sat,Premier League,Matchweek 11,Home,W 4–1,Manchester Utd,Middlesbrough,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2007-11-03,Sat,Premier League,Matchweek 12,Away,D 2–2,Manchester Utd,Arsenal,Y,,90,1,0,0,,,,0,0,,,,,,,0,,,Match Report
