Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2019-08-24,Sat,Serie A,Matchweek 1,Away,W 1–0,Juventus,Parma,Y,FW,90,0,0,0,0,7,2,0,0,1,1,1,1,0,0,0,,,Match Report
2019-08-31,Sat,Serie A,Matchweek 2,Home,W 4–3,Juventus,Napoli,Y,FW,90,1,0,0,0,3,2,0,0,0,3,0,1,0,0,0,,,Match Report
2019-09-14,Sat,Serie A,Matchweek 3,Away,D 0–0,Juventus,Fiorentina,Y,FW,90,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,,,Match Report
2019-09-18,Wed,Champions Lg,Group stage,Away,D 2–2,it Juventus,es Atlético Madrid,Y,FW,90,0,0,0,0,3,2,0,0,2,0,0,5,0,0,0,,,Match Report
2019-09-21,Sat,Serie A,Matchweek 4,Home,W 2–1,Juventus,Hellas Verona,Y,FW,90,1,1,1,1,10,1,0,0,0,3,0,0,0,0,0,,,Match Report
2019-09-28,Sat,Serie A,Matchweek 6,Home,W 2–0,Juventus,SPAL,Y,FW,90,1,0,0,0,6,5,0,0,0,1,3,1,1,0,0,,,Match Report
2019-10-01,Tue,Champions Lg,Group stage,Home,W 3–0,it Juventus,de Leverkusen,Y,FW,90,1,0,0,0,5,3,0,0,0,1,1,0,0,0,0,,,Match Report
2019-10-06,Sun,Serie A,Matchweek 7,Away,W 2–1,Juventus,Inter,Y,FW,90,0,0,0,0,7,2,0,0,0,3,1,0,0,1,0,,,Match Report
2019-10-19,Sat,Serie A,Matchweek 8,Home,W 2–1,Juventus,Bologna,Y,FW,90,1,0,0,0,6,3,0,0,3,1,0,2,1,0,0,,,Match Report
2019-10-22,Tue,Champions Lg,Group stage,Home,W 2–1,it Juventus,ru Loko Moscow,Y,FW,90,0,0,0,0,8,3,0,0,1,1,1,1,0,1,0,,,Match Report
2019-10-30,Wed,Serie A,Matchweek 10,Home,W 2–1,Juventus,Genoa,Y,FW,90,1,0,1,1,7,4,0,0,1,2,2,0,0,0,0,,,Match Report
2019-11-02,Sat,Serie A,Matchweek 11,Away,W 1–0,Juventus,Torino,Y,FW,90,0,0,0,0,7,3,0,0,1,3,2,2,0,0,0,,,Match Report
2019-11-06,Wed,Champions Lg,Group stage,Away,W 2–1,it Juventus,ru Loko Moscow,Y,FW,81,0,1,0,0,8,3,0,0,0,0,1,0,0,0,0,,,Match Report
2019-11-10,Sun,Serie A,Matchweek 12,Home,W 1–0,Juventus,Milan,Y,FW,54,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,,,Match Report
2019-11-26,Tue,Champions Lg,Group stage,Home,W 1–0,it Juventus,es Atlético Madrid,Y,FW,90,0,0,0,0,1,0,0,0,3,2,0,1,0,1,0,,,Match Report
2019-12-01,Sun,Serie A,Matchweek 14,Home,D 2–2,Juventus,Sassuolo,Y,FW,90,1,0,1,1,9,2,0,0,0,2,1,0,0,0,0,,,Match Report
2019-12-07,Sat,Serie A,Matchweek 15,Away,L 1–3,Juventus,Lazio,Y,FW,90,1,0,0,0,2,2,0,0,0,1,0,0,0,0,0,,,Match Report
2019-12-11,Wed,Champions Lg,Group stage,Away,W 2–0,it Juventus,de Leverkusen,Y,FW,90,1,0,0,0,2,1,0,0,1,0,2,0,0,2,0,,,Match Report
2019-12-15,Sun,Serie A,Matchweek 16,Home,W 3–1,Juventus,Udinese,Y,FW,90,2,0,0,0,7,3,0,0,1,1,0,1,0,0,0,,,Match Report
2019-12-18,Wed,Serie A,Matchweek 17,Away,W 2–1,Juventus,Sampdoria,Y,FW,90,1,0,0,0,4,2,0,0,2,4,2,3,1,0,0,,,Match Report
2019-12-22,Sun,Supercoppa,Supercoppa Italiana,Neutral,L 1–3,Juventus,Lazio,Y,FW,90,0,0,0,0,5,1,0,0,0,1,0,4,1,0,0,,,Match Report
2020-01-06,Mon,Serie A,Matchweek 18,Home,W 4–0,Juventus,Cagliari,Y,FW,90,3,1,1,1,8,4,0,0,0,2,1,2,0,0,0,,,Match Report
2020-01-12,Sun,Serie A,Matchweek 19,Away,W 2–1,Juventus,Roma,Y,FW,90,1,0,1,1,3,2,0,0,0,1,2,0,0,1,0,,,Match Report
2020-01-19,Sun,Serie A,Matchweek 20,Home,W 2–1,Juventus,Parma,Y,FW,90,2,0,0,0,8,4,0,0,1,2,0,1,0,2,0,,,Match Report
2020-01-22,Wed,Coppa Italia,Quarter-finals,Home,W 3–1,Juventus,Roma,Y,FW,90,1,0,0,0,4,1,0,0,0,1,1,2,0,0,0,,,Match Report
2020-01-26,Sun,Serie A,Matchweek 21,Away,L 1–2,Juventus,Napoli,Y,FW,90,1,0,0,0,3,1,1,0,1,0,1,1,0,0,0,,,Match Report
2020-02-02,Sun,Serie A,Matchweek 22,Home,W 3–0,Juventus,Fiorentina,Y,FW,90,2,0,2,2,4,2,0,0,2,0,1,1,0,0,0,,,Match Report
2020-02-08,Sat,Serie A,Matchweek 23,Away,L 1–2,Juventus,Hellas Verona,Y,FW,90,1,0,0,0,7,2,0,0,1,1,1,2,0,0,0,,,Match Report
2020-02-13,Thu,Coppa Italia,Semi-finals,Away,D 1–1,Juventus,Milan,Y,FW,90,1,0,1,1,4,1,0,0,0,1,1,1,0,0,0,,,Match Report
2020-02-22,Sat,Serie A,Matchweek 25,Away,W 2–1,Juventus,SPAL,Y,FW,90,1,0,0,0,9,4,0,0,1,2,1,0,2,0,0,,,Match Report
2020-02-26,Wed,Champions Lg,Round of 16,Away,L 0–1,it Juventus,fr Lyon,Y,FW,90,0,0,0,0,4,0,0,0,0,4,2,3,0,0,0,,,Match Report
2020-03-08,Sun,Serie A,Matchweek 26,Home,W 2–0,Juventus,Inter,Y,FW,90,0,1,0,0,9,1,1,0,1,7,0,1,1,0,0,,,Match Report
2020-06-12,Fri,Coppa Italia,Semi-finals,Home,D 0–0,Juventus,Milan,Y,FW,90,0,0,0,1,9,2,0,0,1,2,0,2,0,0,0,,,Match Report
2020-06-17,Wed,Coppa Italia,Final,Away,D 0 (2)–0 (4),Juventus,Napoli,Y,FW,90,0,0,0,0,3,1,0,0,0,2,1,1,0,0,0,,,Match Report
2020-06-22,Mon,Serie A,Matchweek 27,Away,W 2–0,Juventus,Bologna,Y,FW,90,1,0,1,1,6,2,0,0,0,1,2,2,1,0,0,,,Match Report
2020-06-26,Fri,Serie A,Matchweek 28,Home,W 4–0,Juventus,Lecce,Y,FW,90,1,1,1,1,7,2,0,0,1,3,0,2,0,0,0,,,Match Report
2020-06-30,Tue,Serie A,Matchweek 29,Away,W 3–1,Juventus,Genoa,Y,FW,73,1,0,0,0,6,4,0,0,0,1,0,0,0,0,0,,,Match Report
2020-07-04,Sat,Serie A,Matchweek 30,Home,W 4–1,Juventus,Torino,Y,FW,90,1,1,0,0,6,2,0,0,0,1,2,0,0,0,0,,,Match Report
2020-07-07,Tue,Serie A,Matchweek 31,Away,L 2–4,Juventus,Milan,Y,FW,90,1,0,0,0,4,1,0,0,1,2,1,3,1,1,0,,,Match Report
2020-07-11,Sat,Serie A,Matchweek 32,Home,D 2–2,Juventus,Atalanta,Y,FW,90,2,0,2,2,5,3,0,0,0,3,1,1,0,0,0,,,Match Report
2020-07-15,Wed,Serie A,Matchweek 33,Away,D 3–3,Juventus,Sassuolo,Y,FW,90,0,0,0,0,10,2,1,0,3,1,1,0,1,0,0,,,Match Report
2020-07-20,Mon,Serie A,Matchweek 34,Home,W 2–1,Juventus,Lazio,Y,FW,90,2,0,1,1,11,4,0,0,0,3,0,1,1,0,0,,,Match Report
2020-07-23,Thu,Serie A,Matchweek 35,Away,L 1–2,Juventus,Udinese,Y,FW,90,0,0,0,0,7,2,0,0,0,0,0,2,0,0,0,,,Match Report
2020-07-26,Sun,Serie A,Matchweek 36,Home,W 2–0,Juventus,Sampdoria,Y,FW,90,1,0,0,1,6,3,0,0,2,1,1,1,0,0,0,,,Match Report
