Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2009-08-29,Sat,La Liga,Matchweek 1,Home,W 3–2,Real Madrid,Dep. La Coruña,Y,,90,1,,1,,,,0,0,,,,,,,0,,,Match Report
2009-09-12,Sat,La Liga,Matchweek 2,Away,W 3–0,Real Madrid,Espanyol,N,,26,1,,0,,,,0,0,,,,,,,0,,,Match Report
2009-09-15,Tue,Champions Lg,Group stage,Away,W 5–2,es Real Madrid,ch Zürich,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
2009-09-20,Sun,La Liga,Matchweek 3,Home,W 5–0,Real Madrid,Xerez,Y,,77,2,,0,,,,0,0,,,,,,,0,,,Match Report
2009-09-23,Wed,La Liga,Matchweek 4,Away,W 2–0,Real Madrid,Villarreal,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2009-09-26,Sat,La Liga,Matchweek 5,Home,W 3–0,Real Madrid,Tenerife,Y,,77,0,,0,,,,0,0,,,,,,,0,,,Match Report
2009-09-30,Wed,Champions Lg,Group stage,Home,W 3–0,es Real Madrid,fr Marseille,Y,,69,2,,0,,,,0,0,,,,,,,0,,,Match Report
2009-11-25,Wed,Champions Lg,Group stage,Home,W 1–0,es Real Madrid,ch Zürich,N,,21,0,,0,,,,0,0,,,,,,,0,,,Match Report
2009-11-29,Sun,La Liga,Matchweek 12,Away,L 0–1,Real Madrid,Barcelona,Y,,64,0,,0,,,,0,0,,,,,,,0,,,Match Report
2009-12-05,Sat,La Liga,Matchweek 13,Home,W 4–2,Real Madrid,Almería,Y,,86,1,,0,,,,2,1,,,,,,,0,,,Match Report
2009-12-08,Tue,Champions Lg,Group stage,Away,W 3–1,es Real Madrid,fr Marseille,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
2009-12-19,Sat,La Liga,Matchweek 15,Home,W 6–0,Real Madrid,Zaragoza,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2010-01-03,Sun,La Liga,Matchweek 16,Away,D 0–0,Real Madrid,Osasuna,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2010-01-10,Sun,La Liga,Matchweek 17,Home,W 2–0,Real Madrid,Mallorca,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2010-01-16,Sat,La Liga,Matchweek 18,Away,L 0–1,Real Madrid,Athletic Club,Y,,90,0,,0,,,,1,0,,,,,,,0,,,Match Report
2010-01-24,Sun,La Liga,Matchweek 19,Home,W 2–0,Real Madrid,Málaga,Y,,69,2,,0,,,,0,1,,,,,,,0,,,Match Report
2010-02-13,Sat,La Liga,Matchweek 22,Away,W 3–0,Real Madrid,Xerez,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
2010-02-16,Tue,Champions Lg,Round of 16,Away,L 0–1,es Real Madrid,fr Lyon,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
