Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2011-08-28,Sun,La Liga,Matchweek 2,Away,W 6–0,Real Madrid,Zaragoza,Y,,90,3,,0,,,,0,0,,,,,,,0,,,Match Report
2011-09-10,Sat,La Liga,Matchweek 3,Home,W 4–2,Real Madrid,Getafe,Y,,90,1,,1,,,,1,0,,,,,,,0,,,Match Report
2011-09-14,Wed,Champions Lg,Group stage,Away,W 1–0,es Real Madrid,hr Dinamo Zagreb,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2011-09-18,Sun,La Liga,Matchweek 4,Away,L 0–1,Real Madrid,Levante,N,,45,0,,0,,,,0,0,,,,,,,0,,,Match Report
2011-09-21,Wed,La Liga,Matchweek 5,Away,D 0–0,Real Madrid,Racing Sant,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2011-09-24,Sat,La Liga,Matchweek 6,Home,W 6–2,Real Madrid,Rayo Vallecano,Y,,90,3,,2,,,,0,0,,,,,,,0,,,Match Report
2011-09-27,Tue,Champions Lg,Group stage,Home,W 3–0,es Real Madrid,nl Ajax,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2011-10-02,Sun,La Liga,Matchweek 7,Away,W 4–0,Real Madrid,Espanyol,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2011-10-15,Sat,La Liga,Matchweek 8,Home,W 4–1,Real Madrid,Real Betis,Y,,76,0,,0,,,,0,0,,,,,,,0,,,Match Report
2011-10-18,Tue,Champions Lg,Group stage,Home,W 4–0,es Real Madrid,fr Lyon,Y,,90,0,,0,,,,1,0,,,,,,,0,,,Match Report
2011-10-22,Sat,La Liga,Matchweek 9,Away,W 4–0,Real Madrid,Málaga,Y,,90,3,,0,,,,0,0,,,,,,,0,,,Match Report
2011-10-26,Wed,La Liga,Matchweek 10,Home,W 3–0,Real Madrid,Villarreal,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2011-10-29,Sat,La Liga,Matchweek 11,Away,W 1–0,Real Madrid,Real Sociedad,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2011-11-02,Wed,Champions Lg,Group stage,Away,W 2–0,es Real Madrid,fr Lyon,Y,,90,2,,1,,,,0,0,,,,,,,0,,,Match Report
2011-11-06,Sun,La Liga,Matchweek 12,Home,W 7–1,Real Madrid,Osasuna,Y,,90,3,,1,,,,0,0,,,,,,,0,,,Match Report
2011-11-19,Sat,La Liga,Matchweek 13,Away,W 3–2,Real Madrid,Valencia,Y,,90,1,,0,,,,1,0,,,,,,,0,,,Match Report
2011-11-26,Sat,La Liga,Matchweek 14,Home,W 4–1,Real Madrid,Atlético Madrid,Y,,90,2,,2,,,,0,0,,,,,,,0,,,Match Report
2011-12-03,Sat,La Liga,Matchweek 15,Away,W 3–0,Real Madrid,Sporting Gijón,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2011-12-10,Sat,La Liga,Matchweek 16,Home,L 1–3,Real Madrid,Barcelona,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2011-12-17,Sat,La Liga,Matchweek 17,Away,W 6–2,Real Madrid,Sevilla,Y,,90,3,,1,,,,0,0,,,,,,,0,,,Match Report
2012-01-07,Sat,La Liga,Matchweek 18,Home,W 5–1,Real Madrid,Granada,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2012-01-14,Sat,La Liga,Matchweek 19,Away,W 2–1,Real Madrid,Mallorca,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2012-01-22,Sun,La Liga,Matchweek 1,Home,W 4–1,Real Madrid,Athletic Club,Y,,90,2,,2,,,,1,0,,,,,,,0,,,Match Report
2012-01-28,Sat,La Liga,Matchweek 21,Home,W 3–1,Real Madrid,Zaragoza,Y,,90,1,,0,,,,1,0,,,,,,,0,,,Match Report
2012-02-04,Sat,La Liga,Matchweek 22,Away,W 1–0,Real Madrid,Getafe,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2012-02-12,Sun,La Liga,Matchweek 23,Home,W 4–2,Real Madrid,Levante,Y,,90,3,,1,,,,0,0,,,,,,,0,,,Match Report
2012-02-18,Sat,La Liga,Matchweek 24,Home,W 4–0,Real Madrid,Racing Sant,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2012-02-21,Tue,Champions Lg,Round of 16,Away,D 1–1,es Real Madrid,ru CSKA Moscow,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2012-02-26,Sun,La Liga,Matchweek 25,Away,W 1–0,Real Madrid,Rayo Vallecano,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2012-03-04,Sun,La Liga,Matchweek 26,Home,W 5–0,Real Madrid,Espanyol,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2012-03-10,Sat,La Liga,Matchweek 27,Away,W 3–2,Real Madrid,Real Betis,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
2012-03-14,Wed,Champions Lg,Round of 16,Home,W 4–1,es Real Madrid,ru CSKA Moscow,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
2012-03-18,Sun,La Liga,Matchweek 28,Home,D 1–1,Real Madrid,Málaga,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2012-03-21,Wed,La Liga,Matchweek 29,Away,D 1–1,Real Madrid,Villarreal,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2012-03-24,Sat,La Liga,Matchweek 30,Home,W 5–1,Real Madrid,Real Sociedad,Y,,79,2,,0,,,,0,0,,,,,,,0,,,Match Report
2012-03-27,Tue,Champions Lg,Quarter-finals,Away,W 3–0,es Real Madrid,cy APOEL FC,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2012-03-31,Sat,La Liga,Matchweek 31,Away,W 5–1,Real Madrid,Osasuna,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
2012-04-04,Wed,Champions Lg,Quarter-finals,Home,W 5–2,es Real Madrid,cy APOEL FC,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
2012-04-08,Sun,La Liga,Matchweek 32,Home,D 0–0,Real Madrid,Valencia,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2012-04-11,Wed,La Liga,Matchweek 33,Away,W 4–1,Real Madrid,Atlético Madrid,Y,,90,3,,1,,,,0,0,,,,,,,0,,,Match Report
2012-04-14,Sat,La Liga,Matchweek 34,Home,W 3–1,Real Madrid,Sporting Gijón,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2012-04-17,Tue,Champions Lg,Semi-finals,Away,L 1–2,es Real Madrid,de Bayern Munich,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2012-04-21,Sat,La Liga,Matchweek 35,Away,W 2–1,Real Madrid,Barcelona,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2012-04-25,Wed,Champions Lg,Semi-finals,Home,W 2 (1)–1 (3),es Real Madrid,de Bayern Munich,Y,,120,2,,1,,,,0,0,,,,,,,0,,,Match Report
2012-04-29,Sun,La Liga,Matchweek 36,Home,W 3–0,Real Madrid,Sevilla,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2012-05-02,Wed,La Liga,Matchweek 20,Away,W 3–0,Real Madrid,Athletic Club,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2012-05-05,Sat,La Liga,Matchweek 37,Away,W 2–1,Real Madrid,Granada,Y,,90,1,,1,,,,0,0,,,,,,,0,,,Match Report
2012-05-13,Sun,La Liga,Matchweek 38,Home,W 4–1,Real Madrid,Mallorca,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
