Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2023-08-18,Fri,Pro League,Matchweek 2,Home,L 0–2,Al-Nassr,Al-Taawoun,Y*,FW,90,0,0,0,0,4,2,0,0,1,2,2,1,0,0,0,,,Match Report
2023-08-25,Fri,Pro League,Matchweek 3,Away,W 5–0,Al-Nassr,Al-Fateh,Y*,FW,90,3,1,0,0,11,4,0,0,1,1,1,0,0,1,0,,,Match Report
2023-08-29,Tue,Pro League,Matchweek 4,Home,W 4–0,Al-Nassr,Al-Shabab,Y*,FW,85,2,1,2,2,5,3,0,0,1,2,3,1,1,0,0,,,Match Report
2023-09-02,Sat,Pro League,Matchweek 5,Away,W 5–1,Al-Nassr,Al-Hazem,Y*,FW,90,1,2,0,0,6,4,0,0,0,0,2,2,0,0,0,,,Match Report
2023-09-16,Sat,Pro League,Matchweek 6,Away,W 3–1,Al-Nassr,Al-Raed,Y*,FW,90,1,0,0,0,8,3,0,0,1,1,3,0,0,0,0,,,Match Report
2023-09-22,Fri,Pro League,Matchweek 7,Home,W 4–3,Al-Nassr,Al-Ahli,Y*,FW,90,2,0,0,0,4,3,0,0,0,0,1,0,0,0,0,,,Match Report
2023-09-29,Fri,Pro League,Matchweek 8,Away,W 2–1,Al-Nassr,Al-Ta'ee,Y*,FW,90,1,1,1,1,11,5,0,0,0,2,2,0,0,0,0,,,Match Report
2023-10-06,Fri,Pro League,Matchweek 9,Home,D 2–2,Al-Nassr,Abha,Y*,FW,90,0,0,0,0,6,2,0,0,0,1,5,0,0,0,0,,,Match Report
2023-10-21,Sat,Pro League,Matchweek 10,Home,W 2–1,Al-Nassr,Damac,Y*,FW,90,1,0,0,0,6,1,0,0,2,0,2,0,0,0,0,,,Match Report
2023-10-28,Sat,Pro League,Matchweek 11,Away,W 3–1,Al-Nassr,Al-Fayha,Y*,FW,89,0,1,0,0,6,0,0,0,1,1,1,0,0,0,0,,,Match Report
2023-11-04,Sat,Pro League,Matchweek 12,Home,W 2–0,Al-Nassr,Al-Khaleej,Y*,FW,90,1,1,0,0,4,3,0,0,1,2,2,3,1,0,0,,,Match Report
2023-11-11,Sat,Pro League,Matchweek 13,Away,W 3–1,Al-Nassr,Al-Wehda,Y*,FW,90,1,0,0,0,5,2,0,0,0,1,1,2,0,0,0,,,Match Report
2023-11-24,Fri,Pro League,Matchweek 14,Home,W 3–0,Al-Nassr,Al-Okhdood,Y*,FW,90,2,0,0,0,8,3,0,0,3,1,1,1,0,0,0,,,Match Report
2023-12-01,Fri,Pro League,Matchweek 15,Away,L 0–3,Al-Nassr,Al-Hilal,Y*,FW,90,0,0,0,0,3,1,0,0,0,0,3,0,0,0,0,,,Match Report
2023-12-08,Fri,Pro League,Matchweek 16,Home,W 4–1,Al-Nassr,Al-Riyadh,Y*,FW,90,1,1,0,0,8,3,0,0,0,0,4,0,0,0,0,,,Match Report
2023-12-22,Fri,Pro League,Matchweek 18,Home,W 3–1,Al-Nassr,Al-Ettifaq,Y*,FW,90,1,1,1,1,10,5,0,0,0,1,0,7,0,0,0,,,Match Report
2023-12-26,Tue,Pro League,Matchweek 17,Away,W 5–2,Al-Nassr,Al-Ittihad,Y*,FW,90,2,0,2,2,5,3,0,0,0,1,2,6,1,0,0,,,Match Report
2023-12-30,Sat,Pro League,Matchweek 19,Away,W 4–1,Al-Nassr,Al-Taawoun,Y*,FW,90,1,0,0,0,7,2,1,0,0,0,2,2,0,0,0,,,Match Report
2024-02-17,Sat,Pro League,Matchweek 20,Home,W 2–1,Al-Nassr,Al-Fateh,Y*,FW,90,1,0,0,0,8,2,0,0,1,1,2,3,0,0,0,,,Match Report
2024-02-25,Sun,Pro League,Matchweek 21,Away,W 3–2,Al-Nassr,Al-Shabab,Y*,FW,90,1,0,1,1,2,1,0,0,2,0,1,0,0,0,0,,,Match Report
2024-03-07,Thu,Pro League,Matchweek 23,Home,L 1–3,Al-Nassr,Al-Raed,Y*,FW,90,0,0,0,0,8,0,0,0,0,3,2,1,0,0,0,,,Match Report
2024-03-15,Fri,Pro League,Matchweek 24,Away,W 1–0,Al-Nassr,Al-Ahli,Y*,FW,90,1,0,1,1,1,1,0,0,0,0,2,2,0,0,0,,,Match Report
2024-03-30,Sat,Pro League,Matchweek 25,Home,W 5–1,Al-Nassr,Al-Ta'ee,Y*,FW,90,3,0,0,0,7,3,0,0,0,0,3,4,0,0,0,,,Match Report
2024-04-02,Tue,Pro League,Matchweek 26,Away,W 8–0,Al-Nassr,Abha,Y*,FW,45,3,1,0,0,6,4,0,0,0,1,1,0,0,0,0,,,Match Report
2024-04-05,Fri,Pro League,Matchweek 27,Away,W 1–0,Al-Nassr,Damac,N,,25,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,,,Match Report
2024-04-27,Sat,Pro League,Matchweek 29,Away,W 1–0,Al-Nassr,Al-Khaleej,Y*,FW,90,0,0,0,0,5,3,0,0,0,0,5,1,1,0,0,,,Match Report
2024-05-04,Sat,Pro League,Matchweek 30,Home,W 6–0,Al-Nassr,Al-Wehda,Y*,FW,78,3,0,0,0,5,3,0,0,0,0,2,0,0,0,0,,,Match Report
2024-05-09,Thu,Pro League,Matchweek 31,Away,W 3–2,Al-Nassr,Al-Okhdood,Y*,FW,90,1,0,0,0,4,1,1,0,1,0,1,0,0,0,0,,,Match Report
2024-05-17,Fri,Pro League,Matchweek 32,Home,D 1–1,Al-Nassr,Al-Hilal,Y*,FW,90,0,1,0,0,4,1,0,0,0,4,1,0,1,0,0,,,Match Report
2024-05-23,Thu,Pro League,Matchweek 33,Away,D 2–2,Al-Nassr,Al-Riyadh,Y*,FW,90,0,0,0,0,7,0,0,0,0,1,3,0,0,0,0,,,Match Report
2024-05-27,Mon,Pro League,Matchweek 34,Home,W 4–2,Al-Nassr,Al-Ittihad,Y*,FW,73,2,0,0,0,6,3,0,0,0,3,3,0,0,0,0,,,Match Report
