Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2021-08-22,Sun,Serie A,Matchweek 1,Away,D 2–2,Juventus,Udinese,N,,31,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,,,Match Report
2021-09-11,Sat,Premier League,Matchweek 4,Home,W 4–1,Manchester Utd,Newcastle,Y,FW,90,2,0,0,0,6,2,0,0,0,0,0,0,0,0,0,,,Match Report
2021-09-14,Tue,Champions Lg,Group stage,Away,L 1–2,eng Manchester Utd,ch Young Boys,Y,FW,71,1,0,0,0,2,2,0,0,0,2,0,0,0,0,0,,,Match Report
2021-09-19,Sun,Premier League,Matchweek 5,Away,W 2–1,Manchester Utd,West Ham,Y,FW,90,1,0,0,0,7,5,0,0,0,1,0,0,0,0,0,,,Match Report
2021-09-25,Sat,Premier League,Matchweek 6,Home,L 0–1,Manchester Utd,Aston Villa,Y,FW,90,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,,,Match Report
2021-09-29,Wed,Champions Lg,Group stage,Home,W 2–1,eng Manchester Utd,es Villarreal,Y,FW,90,1,0,0,0,3,1,1,0,0,1,0,1,0,0,0,,,Match Report
2021-10-02,Sat,Premier League,Matchweek 7,Home,D 1–1,Manchester Utd,Everton,N,,34,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,,,Match Report
2021-10-16,Sat,Premier League,Matchweek 8,Away,L 2–4,Manchester Utd,Leicester City,Y,FW,90,0,0,0,0,3,1,0,0,1,0,3,0,0,0,0,,,Match Report
2021-10-20,Wed,Champions Lg,Group stage,Home,W 3–2,eng Manchester Utd,it Atalanta,Y,FW,90,1,0,0,0,7,4,0,0,1,2,1,0,0,0,0,,,Match Report
2021-10-24,Sun,Premier League,Matchweek 9,Home,L 0–5,Manchester Utd,Liverpool,Y,FW,90,0,0,0,0,4,1,1,0,1,0,2,2,0,0,0,,,Match Report
2021-10-30,Sat,Premier League,Matchweek 10,Away,W 3–0,Manchester Utd,Tottenham,Y,FW,70,1,1,0,0,2,1,0,0,1,2,1,1,0,0,0,,,Match Report
