Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2015-08-23,Sun,La Liga,Matchweek 1,Away,D 0–0,Real Madrid,Sporting Gijón,Y,AM,90,0,0,0,0,10,4,0,0,0,0,1,3,1,0,0,0,0,Match Report
2015-08-29,Sat,La Liga,Matchweek 2,Home,W 5–0,Real Madrid,Real Betis,Y,AM,90,0,0,0,0,6,5,0,0,1,3,1,3,1,0,0,0,0,Match Report
2015-09-12,Sat,La Liga,Matchweek 3,Away,W 6–0,Real Madrid,Espanyol,Y,AM,90,5,1,1,1,7,5,0,0,1,2,2,3,0,0,0,0,0,Match Report
2015-09-15,Tue,Champions Lg,Group stage,Home,W 4–0,es Real Madrid,ua Shakhtar D.,Y,AM,90,3,0,2,2,10,3,0,0,2,2,1,3,0,0,0,0,0,Match Report
2015-09-19,Sat,La Liga,Matchweek 4,Home,W 1–0,Real Madrid,Granada,Y,AM,90,0,0,0,0,8,5,0,0,0,0,1,0,0,0,0,0,0,Match Report
2015-09-23,Wed,La Liga,Matchweek 5,Away,W 2–1,Real Madrid,Athletic Club,Y,AM,90,0,0,0,0,4,1,1,0,1,0,1,1,0,1,0,0,0,Match Report
2015-09-26,Sat,La Liga,Matchweek 6,Home,D 0–0,Real Madrid,Málaga,Y,FW,90,0,0,0,0,14,2,1,0,1,1,2,2,0,0,0,0,0,Match Report
2015-09-30,Wed,Champions Lg,Group stage,Away,W 2–0,es Real Madrid,se Malmö,Y*,FW,90,2,0,0,0,12,7,0,0,1,1,3,1,0,0,0,0,0,Match Report
2015-10-04,Sun,La Liga,Matchweek 7,Away,D 1–1,Real Madrid,Atlético Madrid,Y,FW,90,0,0,0,0,6,1,0,0,1,3,0,3,0,1,0,0,0,Match Report
2015-10-17,Sat,La Liga,Matchweek 8,Home,W 3–0,Real Madrid,Levante,Y,FW,90,1,1,0,0,6,2,0,0,1,2,1,1,0,0,0,0,0,Match Report
2015-10-21,Wed,Champions Lg,Group stage,Away,D 0–0,es Real Madrid,fr PSG,Y,FW,90,0,0,0,0,6,2,0,0,1,2,0,0,0,1,0,0,0,Match Report
2015-10-24,Sat,La Liga,Matchweek 9,Away,W 3–1,Real Madrid,Celta Vigo,Y,FW,90,1,0,0,0,7,4,0,0,0,0,1,1,0,0,0,0,0,Match Report
2015-10-31,Sat,La Liga,Matchweek 10,Home,W 3–1,Real Madrid,Las Palmas,Y,FW,90,1,0,0,0,5,3,0,0,0,0,3,0,1,0,0,0,0,Match Report
2015-11-03,Tue,Champions Lg,Group stage,Home,W 1–0,es Real Madrid,fr PSG,Y,FW,90,0,0,0,0,3,1,0,0,1,1,0,0,0,1,0,0,0,Match Report
