Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2010-08-29,Sun,La Liga,Matchweek 1,Away,D 0–0,Real Madrid,Mallorca,Y,,90,0,,0,,,,1,0,,,,,,,0,,,Match Report
2010-09-11,Sat,La Liga,Matchweek 2,Home,W 1–0,Real Madrid,Osasuna,Y,,90,0,,0,,,,1,0,,,,,,,0,,,Match Report
2010-09-15,Wed,Champions Lg,Group stage,Home,W 2–0,es Real Madrid,nl Ajax,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2010-09-18,Sat,La Liga,Matchweek 3,Away,W 2–1,Real Madrid,Real Sociedad,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2010-09-21,Tue,La Liga,Matchweek 4,Home,W 3–0,Real Madrid,Espanyol,Y,,90,1,,1,,,,0,0,,,,,,,0,,,Match Report
2010-09-25,Sat,La Liga,Matchweek 5,Away,D 0–0,Real Madrid,Levante,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2010-09-28,Tue,Champions Lg,Group stage,Away,W 1–0,es Real Madrid,fr Auxerre,Y,,90,0,,0,,,,1,0,,,,,,,0,,,Match Report
2010-10-03,Sun,La Liga,Matchweek 6,Home,W 6–1,Real Madrid,Dep. La Coruña,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
2010-10-16,Sat,La Liga,Matchweek 7,Away,W 4–1,Real Madrid,Málaga,Y,,90,2,,1,,,,0,0,,,,,,,0,,,Match Report
2010-10-19,Tue,Champions Lg,Group stage,Home,W 2–0,es Real Madrid,it Milan,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2010-10-23,Sat,La Liga,Matchweek 8,Home,W 6–1,Real Madrid,Racing Sant,Y,,90,4,,1,,,,0,0,,,,,,,0,,,Match Report
2010-10-30,Sat,La Liga,Matchweek 9,Away,W 3–1,Real Madrid,Hércules,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
2010-11-03,Wed,Champions Lg,Group stage,Away,D 2–2,es Real Madrid,it Milan,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2010-11-07,Sun,La Liga,Matchweek 10,Home,W 2–0,Real Madrid,Atlético Madrid,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2010-11-14,Sun,La Liga,Matchweek 11,Away,W 1–0,Real Madrid,Sporting Gijón,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2010-11-20,Sat,La Liga,Matchweek 12,Home,W 5–1,Real Madrid,Athletic Club,Y,,90,3,,1,,,,0,0,,,,,,,0,,,Match Report
2010-11-23,Tue,Champions Lg,Group stage,Away,W 4–0,es Real Madrid,nl Ajax,Y,,90,2,,1,,,,1,0,,,,,,,0,,,Match Report
2010-11-29,Mon,La Liga,Matchweek 13,Away,L 0–5,Real Madrid,Barcelona,Y,,90,0,,0,,,,1,0,,,,,,,0,,,Match Report
2010-12-04,Sat,La Liga,Matchweek 14,Home,W 2–0,Real Madrid,Valencia,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
2010-12-08,Wed,Champions Lg,Group stage,Home,W 4–0,es Real Madrid,fr Auxerre,Y,,71,1,,0,,,,0,0,,,,,,,0,,,Match Report
2010-12-12,Sun,La Liga,Matchweek 15,Away,W 3–1,Real Madrid,Zaragoza,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2010-12-19,Sun,La Liga,Matchweek 16,Home,W 1–0,Real Madrid,Sevilla,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2011-01-03,Mon,La Liga,Matchweek 17,Away,W 3–2,Real Madrid,Getafe,Y,,90,2,,1,,,,0,0,,,,,,,0,,,Match Report
2011-01-09,Sun,La Liga,Matchweek 18,Home,W 4–2,Real Madrid,Villarreal,Y,,90,3,,0,,,,0,0,,,,,,,0,,,Match Report
2011-01-16,Sun,La Liga,Matchweek 19,Away,D 1–1,Real Madrid,Almería,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2011-01-23,Sun,La Liga,Matchweek 20,Home,W 1–0,Real Madrid,Mallorca,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2011-01-30,Sun,La Liga,Matchweek 21,Away,L 0–1,Real Madrid,Osasuna,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2011-02-06,Sun,La Liga,Matchweek 22,Home,W 4–1,Real Madrid,Real Sociedad,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
2011-02-13,Sun,La Liga,Matchweek 23,Away,W 1–0,Real Madrid,Espanyol,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2011-02-19,Sat,La Liga,Matchweek 24,Home,W 2–0,Real Madrid,Levante,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2011-02-22,Tue,Champions Lg,Round of 16,Away,D 1–1,es Real Madrid,fr Lyon,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2011-02-26,Sat,La Liga,Matchweek 25,Away,D 0–0,Real Madrid,Dep. La Coruña,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2011-03-03,Thu,La Liga,Matchweek 26,Home,W 7–0,Real Madrid,Málaga,Y,,77,3,,1,,,,0,0,,,,,,,0,,,Match Report
2011-03-16,Wed,Champions Lg,Round of 16,Home,W 3–0,es Real Madrid,fr Lyon,Y,,73,0,,0,,,,0,0,,,,,,,0,,,Match Report
2011-03-19,Sat,La Liga,Matchweek 29,Away,W 2–1,Real Madrid,Atlético Madrid,Y,,70,0,,0,,,,0,0,,,,,,,0,,,Match Report
2011-04-05,Tue,Champions Lg,Quarter-finals,Home,W 4–0,es Real Madrid,eng Tottenham,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
