Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2005-08-09,Tue,Champions Lg,Third qualifying round,Home,W 3–0,eng Manchester Utd,hu Debrecen,Y,,66,1,,0,,,,0,0,,,,,,,0,,,Match Report
2005-08-20,Sat,Premier League,Matchweek 2,Home,W 1–0,Manchester Utd,Aston Villa,N,,32,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2005-08-24,Wed,Champions Lg,Third qualifying round,Away,W 3–0,eng Manchester Utd,hu Debrecen,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2005-08-28,Sun,Premier League,Matchweek 4,Away,W 2–0,Manchester Utd,Newcastle,Y,,84,0,0,0,,,,1,0,,,,,,,0,,,Match Report
2005-09-14,Wed,Champions Lg,Group stage,Away,D 0–0,eng Manchester Utd,es Villarreal,Y,,79,0,,0,,,,0,0,,,,,,,0,,,Match Report
2005-09-18,Sun,Premier League,Matchweek 6,Away,D 0–0,Manchester Utd,Liverpool,Y,,89,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2005-09-24,Sat,Premier League,Matchweek 7,Home,L 1–2,Manchester Utd,Blackburn,Y,,90,0,0,0,,,,1,0,,,,,,,0,,,Match Report
2005-09-27,Tue,Champions Lg,Group stage,Home,W 2–1,eng Manchester Utd,pt Benfica,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2005-10-01,Sat,Premier League,Matchweek 8,Away,W 3–2,Manchester Utd,Fulham,N,,14,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2005-10-15,Sat,Premier League,Matchweek 9,Away,W 3–1,Manchester Utd,Sunderland,Y,,88,0,0,0,,,,1,0,,,,,,,0,,,Match Report
2005-10-18,Tue,Champions Lg,Group stage,Home,D 0–0,eng Manchester Utd,fr Lille,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2005-10-22,Sat,Premier League,Matchweek 10,Home,D 1–1,Manchester Utd,Tottenham,N,,16,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2005-10-29,Sat,Premier League,Matchweek 11,Away,L 1–4,Manchester Utd,Middlesbrough,N,,31,1,0,0,,,,0,0,,,,,,,0,,,Match Report
2005-11-02,Wed,Champions Lg,Group stage,Away,L 0–1,eng Manchester Utd,fr Lille,Y,,88,0,,0,,,,0,0,,,,,,,0,,,Match Report
2005-11-06,Sun,Premier League,Matchweek 12,Home,W 1–0,Manchester Utd,Chelsea,Y,,90,0,1,0,,,,1,0,,,,,,,0,,,Match Report
2005-11-19,Sat,Premier League,Matchweek 13,Away,W 3–1,Manchester Utd,Charlton Athletic,Y,,74,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2005-11-22,Tue,Champions Lg,Group stage,Home,D 0–0,eng Manchester Utd,es Villarreal,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2005-12-03,Sat,Premier League,Matchweek 15,Home,W 3–0,Manchester Utd,Portsmouth,N,,26,0,1,0,,,,0,0,,,,,,,0,,,Match Report
2005-12-07,Wed,Champions Lg,Group stage,Away,L 1–2,eng Manchester Utd,pt Benfica,Y,,66,0,,0,,,,1,0,,,,,,,0,,,Match Report
2005-12-11,Sun,Premier League,Matchweek 16,Home,D 1–1,Manchester Utd,Everton,N,,27,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2005-12-14,Wed,Premier League,Matchweek 3,Home,W 4–0,Manchester Utd,Wigan Athletic,N,,21,0,0,0,,,,1,0,,,,,,,0,,,Match Report
2005-12-17,Sat,Premier League,Matchweek 17,Away,W 2–0,Manchester Utd,Aston Villa,N,,29,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2005-12-28,Wed,Premier League,Matchweek 19,Away,D 2–2,Manchester Utd,Birmingham City,Y,,82,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2005-12-31,Sat,Premier League,Matchweek 20,Home,W 4–1,Manchester Utd,Bolton,Y,,90,2,0,0,,,,1,0,,,,,,,0,,,Match Report
2006-01-03,Tue,Premier League,Matchweek 21,Away,D 0–0,Manchester Utd,Arsenal,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2006-01-14,Sat,Premier League,Matchweek 22,Away,L 1–3,Manchester Utd,Manchester City,Y,,65,0,0,0,,,,0,1,,,,,,,0,,,Match Report
2006-02-01,Wed,Premier League,Matchweek 24,Away,L 3–4,Manchester Utd,Blackburn,Y,,90,0,1,0,,,,0,0,,,,,,,0,,,Match Report
2006-02-04,Sat,Premier League,Matchweek 25,Home,W 4–2,Manchester Utd,Fulham,Y,,90,2,0,0,,,,0,0,,,,,,,0,,,Match Report
2006-02-11,Sat,Premier League,Matchweek 26,Away,W 3–1,Manchester Utd,Portsmouth,Y,,90,2,0,0,,,,0,0,,,,,,,0,,,Match Report
2006-03-06,Mon,Premier League,Matchweek 28,Away,W 2–1,Manchester Utd,Wigan Athletic,Y,,90,1,0,0,,,,0,0,,,,,,,0,,,Match Report
2006-03-12,Sun,Premier League,Matchweek 29,Home,W 2–0,Manchester Utd,Newcastle,Y,,74,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2006-03-18,Sat,Premier League,Matchweek 30,Away,W 2–1,Manchester Utd,West Brom,Y,,90,0,1,0,,,,0,0,,,,,,,0,,,Match Report
2006-03-26,Sun,Premier League,Matchweek 31,Home,W 3–0,Manchester Utd,Birmingham City,Y,,90,0,1,0,,,,0,0,,,,,,,0,,,Match Report
2006-03-29,Wed,Premier League,Matchweek 27,Home,W 1–0,Manchester Utd,West Ham,Y,,86,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2006-04-01,Sat,Premier League,Matchweek 32,Away,W 2–1,Manchester Utd,Bolton,Y,,89,0,0,0,,,,1,0,,,,,,,0,,,Match Report
