Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2006-08-20,Sun,Premier League,Matchweek 1,Home,W 5–1,Manchester Utd,Fulham,Y,,90,1,0,0,,,,0,0,,,,,,,0,,,Match Report
2006-08-23,Wed,Premier League,Matchweek 2,Away,W 3–0,Manchester Utd,Charlton Athletic,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2006-08-26,Sat,Premier League,Matchweek 3,Away,W 2–1,Manchester Utd,Watford,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2006-09-06,Wed,UEFA Euro qual.,Group stage,Away,D 1–1,pt Portugal,fi Finland,Y,,90,0,,0,0,,,0,0,,,,,,,0,,,Match Report
2006-09-09,Sat,Premier League,Matchweek 4,Home,W 1–0,Manchester Utd,Tottenham,Y,,89,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2006-09-17,Sun,Premier League,Matchweek 5,Home,L 0–1,Manchester Utd,Arsenal,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2006-09-23,Sat,Premier League,Matchweek 6,Away,D 1–1,Manchester Utd,Reading,Y,,90,1,0,0,,,,0,0,,,,,,,0,,,Match Report
2006-09-26,Tue,Champions Lg,Group stage,Away,W 1–0,eng Manchester Utd,pt Benfica,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2006-10-01,Sun,Premier League,Matchweek 7,Home,W 2–0,Manchester Utd,Newcastle,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2006-10-17,Tue,Champions Lg,Group stage,Home,W 3–0,eng Manchester Utd,dk FC Copenhagen,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2006-10-28,Sat,Premier League,Matchweek 10,Away,W 4–0,Manchester Utd,Bolton,Y,,90,1,0,0,,,,0,0,,,,,,,0,,,Match Report
2006-11-01,Wed,Champions Lg,Group stage,Away,L 0–1,eng Manchester Utd,dk FC Copenhagen,Y,,90,0,,0,,,,1,0,,,,,,,0,,,Match Report
2006-11-04,Sat,Premier League,Matchweek 11,Home,W 3–0,Manchester Utd,Portsmouth,Y,,74,1,0,0,,,,0,0,,,,,,,0,,,Match Report
2006-11-11,Sat,Premier League,Matchweek 12,Away,W 1–0,Manchester Utd,Blackburn,Y,,89,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2006-11-18,Sat,Premier League,Matchweek 13,Away,W 2–1,Manchester Utd,Sheffield United,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2006-11-21,Tue,Champions Lg,Group stage,Away,L 0–1,eng Manchester Utd,sct Celtic,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2006-11-26,Sun,Premier League,Matchweek 14,Home,D 1–1,Manchester Utd,Chelsea,Y,,85,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2006-11-29,Wed,Premier League,Matchweek 15,Home,W 3–0,Manchester Utd,Everton,Y,,67,1,0,0,,,,0,0,,,,,,,0,,,Match Report
2006-12-02,Sat,Premier League,Matchweek 16,Away,W 2–1,Manchester Utd,Middlesbrough,Y,,86,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2006-12-06,Wed,Champions Lg,Group stage,Home,W 3–1,eng Manchester Utd,pt Benfica,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2006-12-09,Sat,Premier League,Matchweek 17,Home,W 3–1,Manchester Utd,Manchester City,Y,,90,1,1,0,,,,0,0,,,,,,,0,,,Match Report
2006-12-17,Sun,Premier League,Matchweek 18,Away,L 0–1,Manchester Utd,West Ham,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2006-12-23,Sat,Premier League,Matchweek 19,Away,W 3–0,Manchester Utd,Aston Villa,Y,,90,2,0,0,,,,0,0,,,,,,,0,,,Match Report
2006-12-26,Tue,Premier League,Matchweek 20,Home,W 3–1,Manchester Utd,Wigan Athletic,N,,45,2,0,0,,,,0,0,,,,,,,0,,,Match Report
2006-12-30,Sat,Premier League,Matchweek 21,Home,W 3–2,Manchester Utd,Reading,Y,,77,2,1,0,,,,0,0,,,,,,,0,,,Match Report
2007-01-01,Mon,Premier League,Matchweek 22,Away,D 2–2,Manchester Utd,Newcastle,Y,,90,0,1,0,,,,0,0,,,,,,,0,,,Match Report
2007-01-13,Sat,Premier League,Matchweek 23,Home,W 3–1,Manchester Utd,Aston Villa,Y,,90,1,0,0,,,,0,0,,,,,,,0,,,Match Report
2007-01-21,Sun,Premier League,Matchweek 24,Away,L 1–2,Manchester Utd,Arsenal,Y,,89,0,0,0,,,,1,0,,,,,,,0,,,Match Report
2007-01-31,Wed,Premier League,Matchweek 25,Home,W 4–0,Manchester Utd,Watford,Y,,90,1,1,1,,,,0,0,,,,,,,0,,,Match Report
2007-02-04,Sun,Premier League,Matchweek 26,Away,W 4–0,Manchester Utd,Tottenham,Y,,67,1,1,1,,,,0,0,,,,,,,0,,,Match Report
2007-02-20,Tue,Champions Lg,Round of 16,Away,W 1–0,eng Manchester Utd,fr Lille,Y,,66,0,,0,,,,0,0,,,,,,,0,,,Match Report
2007-02-24,Sat,Premier League,Matchweek 28,Away,W 2–1,Manchester Utd,Fulham,Y,,90,1,0,0,,,,0,0,,,,,,,0,,,Match Report
2007-03-03,Sat,Premier League,Matchweek 29,Away,W 1–0,Manchester Utd,Liverpool,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2007-03-07,Wed,Champions Lg,Round of 16,Home,W 1–0,eng Manchester Utd,fr Lille,Y,,73,0,,0,,,,1,0,,,,,,,0,,,Match Report
2007-03-17,Sat,Premier League,Matchweek 30,Home,W 4–1,Manchester Utd,Bolton,Y,,69,0,2,0,,,,0,0,,,,,,,0,,,Match Report
2007-03-31,Sat,Premier League,Matchweek 31,Home,W 4–1,Manchester Utd,Blackburn,Y,,83,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2007-04-04,Wed,Champions Lg,Quarter-finals,Away,L 1–2,eng Manchester Utd,it Roma,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2007-04-07,Sat,Premier League,Matchweek 32,Away,L 1–2,Manchester Utd,Portsmouth,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2007-04-10,Tue,Champions Lg,Quarter-finals,Home,W 7–1,eng Manchester Utd,it Roma,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
2007-04-17,Tue,Premier League,Matchweek 33,Home,W 2–0,Manchester Utd,Sheffield United,Y,,90,0,1,0,,,,1,0,,,,,,,0,,,Match Report
2007-04-21,Sat,Premier League,Matchweek 35,Home,D 1–1,Manchester Utd,Middlesbrough,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2007-04-24,Tue,Champions Lg,Semi-finals,Home,W 3–2,eng Manchester Utd,it Milan,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2007-04-28,Sat,Premier League,Matchweek 36,Away,W 4–2,Manchester Utd,Everton,N,,28,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2007-05-02,Wed,Champions Lg,Semi-finals,Away,L 0–3,eng Manchester Utd,it Milan,Y,,90,0,,0,,,,1,0,,,,,,,0,,,Match Report
2007-05-05,Sat,Premier League,Matchweek 37,Away,W 1–0,Manchester Utd,Manchester City,Y,,90,1,0,1,,,,0,0,,,,,,,0,,,Match Report
2007-05-13,Sun,Premier League,Matchweek 38,Home,L 0–1,Manchester Utd,West Ham,N,,33,0,0,0,,,,0,0,,,,,,,0,,,Match Report
