Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2008-09-17,Wed,Champions Lg,Group stage,Home,D 0–0,eng Manchester Utd,es Villarreal,N,,29,0,,0,,,,0,0,,,,,,,0,,,Match Report
2008-09-21,Sun,Premier League,Matchweek 5,Away,D 1–1,Manchester Utd,Chelsea,N,,36,0,0,0,,,,1,0,,,,,,,0,,,Match Report
2008-09-27,Sat,Premier League,Matchweek 6,Home,W 2–0,Manchester Utd,Bolton,Y,,79,1,1,1,,,,0,0,,,,,,,0,,,Match Report
2008-09-30,Tue,Champions Lg,Group stage,Away,W 3–0,eng Manchester Utd,dk Aalborg,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2008-10-04,Sat,Premier League,Matchweek 7,Away,W 2–0,Manchester Utd,Blackburn,Y,,90,0,1,0,,,,0,0,,,,,,,0,,,Match Report
2008-10-18,Sat,Premier League,Matchweek 8,Home,W 4–0,Manchester Utd,West Brom,Y,,90,1,0,0,,,,0,0,,,,,,,0,,,Match Report
2008-10-21,Tue,Champions Lg,Group stage,Home,W 3–0,eng Manchester Utd,sct Celtic,Y,,81,0,,0,,,,0,0,,,,,,,0,,,Match Report
2008-10-25,Sat,Premier League,Matchweek 9,Away,D 1–1,Manchester Utd,Everton,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2008-10-29,Wed,Premier League,Matchweek 10,Home,W 2–0,Manchester Utd,West Ham,Y,,90,2,0,0,,,,0,0,,,,,,,0,,,Match Report
2008-11-01,Sat,Premier League,Matchweek 11,Home,W 4–3,Manchester Utd,Hull City,Y,,90,2,0,0,,,,0,0,,,,,,,0,,,Match Report
2008-11-05,Wed,Champions Lg,Group stage,Away,D 1–1,eng Manchester Utd,sct Celtic,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2008-11-08,Sat,Premier League,Matchweek 12,Away,L 1–2,Manchester Utd,Arsenal,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2008-11-15,Sat,Premier League,Matchweek 13,Home,W 5–0,Manchester Utd,Stoke City,Y,,90,2,1,0,,,,0,0,,,,,,,0,,,Match Report
2008-11-22,Sat,Premier League,Matchweek 14,Away,D 0–0,Manchester Utd,Aston Villa,Y,,81,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2008-11-25,Tue,Champions Lg,Group stage,Away,D 0–0,eng Manchester Utd,es Villarreal,Y,,90,0,,0,,,,1,0,,,,,,,0,,,Match Report
2008-11-30,Sun,Premier League,Matchweek 15,Away,W 1–0,Manchester Utd,Manchester City,Y,,67,0,0,0,,,,2,1,,,,,,,0,,,Match Report
2008-12-06,Sat,Premier League,Matchweek 16,Home,W 1–0,Manchester Utd,Sunderland,Y,,67,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2008-12-13,Sat,Premier League,Matchweek 17,Away,D 0–0,Manchester Utd,Tottenham,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2008-12-26,Fri,Premier League,Matchweek 19,Away,W 1–0,Manchester Utd,Stoke City,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2008-12-29,Mon,Premier League,Matchweek 20,Home,W 1–0,Manchester Utd,Middlesbrough,Y,,83,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2009-01-11,Sun,Premier League,Matchweek 21,Home,W 3–0,Manchester Utd,Chelsea,Y,,90,0,1,0,,,,1,0,,,,,,,0,,,Match Report
2009-01-14,Wed,Premier League,Matchweek 18,Home,W 1–0,Manchester Utd,Wigan Athletic,Y,,90,0,1,0,,,,0,0,,,,,,,0,,,Match Report
2009-01-17,Sat,Premier League,Matchweek 22,Away,W 1–0,Manchester Utd,Bolton,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2009-01-27,Tue,Premier League,Matchweek 23,Away,W 5–0,Manchester Utd,West Brom,Y,,90,2,0,0,,,,0,0,,,,,,,0,,,Match Report
2009-01-31,Sat,Premier League,Matchweek 24,Home,W 1–0,Manchester Utd,Everton,Y,,90,1,0,1,,,,0,0,,,,,,,0,,,Match Report
2009-02-08,Sun,Premier League,Matchweek 25,Away,W 1–0,Manchester Utd,West Ham,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2009-02-18,Wed,Premier League,Matchweek 3,Home,W 3–0,Manchester Utd,Fulham,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2009-02-21,Sat,Premier League,Matchweek 26,Home,W 2–1,Manchester Utd,Blackburn,Y,,90,1,0,0,,,,1,0,,,,,,,0,,,Match Report
2009-02-24,Tue,Champions Lg,Round of 16,Away,D 0–0,eng Manchester Utd,it Inter,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2009-03-04,Wed,Premier League,Matchweek 28,Away,W 2–1,Manchester Utd,Newcastle,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2009-03-11,Wed,Champions Lg,Round of 16,Home,W 2–0,eng Manchester Utd,it Inter,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2009-03-14,Sat,Premier League,Matchweek 29,Home,L 1–4,Manchester Utd,Liverpool,Y,,90,1,0,1,,,,0,0,,,,,,,0,,,Match Report
2009-03-21,Sat,Premier League,Matchweek 30,Away,L 0–2,Manchester Utd,Fulham,Y,,90,0,0,0,,,,1,0,,,,,,,0,,,Match Report
2009-04-05,Sun,Premier League,Matchweek 31,Home,W 3–2,Manchester Utd,Aston Villa,Y,,90,2,0,0,,,,0,0,,,,,,,0,,,Match Report
2009-04-07,Tue,Champions Lg,Quarter-finals,Home,D 2–2,eng Manchester Utd,pt Porto,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2009-04-11,Sat,Premier League,Matchweek 32,Away,W 2–1,Manchester Utd,Sunderland,N,,22,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2009-04-15,Wed,Champions Lg,Quarter-finals,Away,W 1–0,eng Manchester Utd,pt Porto,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2009-04-22,Wed,Premier League,Matchweek 27,Home,W 2–0,Manchester Utd,Portsmouth,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2009-04-25,Sat,Premier League,Matchweek 34,Home,W 5–2,Manchester Utd,Tottenham,Y,,90,2,1,1,,,,1,0,,,,,,,0,,,Match Report
2009-04-29,Wed,Champions Lg,Semi-finals,Home,W 1–0,eng Manchester Utd,eng Arsenal,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2009-05-05,Tue,Champions Lg,Semi-finals,Away,W 3–1,eng Manchester Utd,eng Arsenal,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
2009-05-10,Sun,Premier League,Matchweek 36,Home,W 2–0,Manchester Utd,Manchester City,Y,,57,1,0,0,,,,0,0,,,,,,,0,,,Match Report
2009-05-13,Wed,Premier League,Matchweek 33,Away,W 2–1,Manchester Utd,Wigan Athletic,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2009-05-16,Sat,Premier League,Matchweek 37,Home,D 0–0,Manchester Utd,Arsenal,Y,,90,0,0,0,,,,0,0,,,,,,,0,,,Match Report
2009-05-27,Wed,Champions Lg,Final,Neutral,L 0–2,eng Manchester Utd,es Barcelona,Y,,90,0,,0,,,,1,0,,,,,,,0,,,Match Report
