Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2020-09-20,Sun,Serie A,Matchweek 1,Home,W 3–0,Juventus,Sampdoria,Y,FW,90,1,0,0,0,10,3,0,0,0,2,1,0,0,0,0,,,Match Report
2020-09-27,Sun,Serie A,Matchweek 2,Away,D 2–2,Juventus,Roma,Y,FW,90,2,0,1,1,4,3,0,0,0,1,0,2,0,0,0,,,Match Report
2020-11-01,Sun,Serie A,Matchweek 6,Away,W 4–1,Juventus,Spezia,N,,35,2,0,1,1,2,2,0,0,0,1,2,0,0,0,0,,,Match Report
2020-11-04,Wed,Champions Lg,Group stage,Away,W 4–1,it Juventus,hu Ferencváros,Y,FW,90,0,1,0,0,5,2,0,0,0,2,0,0,0,0,0,,,Match Report
2020-11-08,Sun,Serie A,Matchweek 7,Away,D 1–1,Juventus,Lazio,Y,FW,75,1,0,0,0,5,3,0,0,0,0,2,2,0,1,0,,,Match Report
2020-11-21,Sat,Serie A,Matchweek 8,Home,W 2–0,Juventus,Cagliari,Y,FW,90,2,0,0,0,5,2,0,0,0,1,0,5,1,0,0,,,Match Report
2020-11-24,Tue,Champions Lg,Group stage,Home,W 2–1,it Juventus,hu Ferencváros,Y,FW,90,1,0,0,0,2,1,0,0,1,0,3,1,0,0,0,,,Match Report
2020-12-02,Wed,Champions Lg,Group stage,Home,W 3–0,it Juventus,ua Dynamo Kyiv,Y,FW,90,1,0,0,0,6,2,0,0,0,0,2,2,0,0,0,,,Match Report
2020-12-05,Sat,Serie A,Matchweek 10,Home,W 2–1,Juventus,Torino,Y,FW,90,0,0,0,0,3,0,0,0,1,2,0,5,0,0,0,,,Match Report
2020-12-08,Tue,Champions Lg,Group stage,Away,W 3–0,it Juventus,es Barcelona,Y,FW,89,2,0,2,2,3,3,0,0,0,1,0,0,0,1,0,,,Match Report
2020-12-13,Sun,Serie A,Matchweek 11,Away,W 3–1,Juventus,Genoa,Y,FW,90,2,0,2,2,8,5,0,0,0,1,2,3,0,0,0,,,Match Report
2020-12-16,Wed,Serie A,Matchweek 12,Home,D 1–1,Juventus,Atalanta,Y,FW,90,0,0,0,1,3,1,0,0,1,1,0,1,0,1,0,,,Match Report
2020-12-19,Sat,Serie A,Matchweek 13,Away,W 4–0,Juventus,Parma,Y,FW,81,2,0,0,0,5,2,0,0,0,1,0,3,0,0,0,,,Match Report
2020-12-22,Tue,Serie A,Matchweek 14,Home,L 0–3,Juventus,Fiorentina,Y,FW,90,0,0,0,0,6,1,0,0,0,1,1,2,0,1,0,,,Match Report
2021-01-03,Sun,Serie A,Matchweek 15,Home,W 4–1,Juventus,Udinese,Y,FW,90,2,1,0,0,4,2,0,0,0,2,0,2,1,0,0,,,Match Report
2021-01-06,Wed,Serie A,Matchweek 16,Away,W 3–1,Juventus,Milan,Y,FW,90,0,0,0,0,2,0,0,0,0,4,0,2,0,0,0,,,Match Report
2021-01-10,Sun,Serie A,Matchweek 17,Home,W 3–1,Juventus,Sassuolo,Y,FW,90,1,0,0,0,6,3,0,0,0,0,0,3,0,0,0,,,Match Report
2021-01-13,Wed,Coppa Italia,Round of 16,Home,W 3–2,Juventus,Genoa,N,,33,0,0,0,0,,0,0,0,,,,,,,0,,,Match Report
2021-01-17,Sun,Serie A,Matchweek 18,Away,L 0–2,Juventus,Inter,Y,FW,90,0,0,0,0,3,1,0,0,1,3,2,7,1,0,0,,,Match Report
