Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2017-08-08,Tue,Super Cup,UEFA Super Cup,Neutral,W 2–1,es Real Madrid,eng Manchester Utd,N,,8,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,Match Report
2017-08-13,Sun,Supercopa de España,Supercopa de España,Neutral,W 3–1,Real Madrid,Barcelona,N,,24,1,0,0,0,,,2,1,,,,,,,0,,,Match Report
2017-09-13,Wed,Champions Lg,Group stage,Home,W 3–0,es Real Madrid,cy APOEL FC,Y,FW,90,2,0,1,1,9,3,0,0,1,1,4,1,0,0,0,0,0,Match Report
2017-09-20,Wed,La Liga,Matchweek 5,Home,L 0–1,Real Madrid,Real Betis,Y,FW,90,0,0,0,0,12,2,0,0,3,1,0,1,0,0,0,0,0,Match Report
2017-09-23,Sat,La Liga,Matchweek 6,Away,W 2–1,Real Madrid,Alavés,Y,FW,90,0,0,0,0,6,1,0,0,1,1,0,0,0,0,0,0,0,Match Report
2017-09-26,Tue,Champions Lg,Group stage,Away,W 3–1,es Real Madrid,de Dortmund,Y,FW,90,2,0,0,0,5,2,0,0,0,1,1,3,0,0,0,0,0,Match Report
2017-10-01,Sun,La Liga,Matchweek 7,Home,W 2–0,Real Madrid,Espanyol,Y,FW,90,0,1,0,0,5,1,0,0,0,1,2,3,0,0,0,0,0,Match Report
2017-10-14,Sat,La Liga,Matchweek 8,Away,W 2–1,Real Madrid,Getafe,Y,FW,90,1,0,0,0,5,3,0,0,0,0,2,0,0,0,0,0,0,Match Report
2017-10-17,Tue,Champions Lg,Group stage,Home,D 1–1,es Real Madrid,eng Tottenham,Y,FW,90,1,0,1,1,8,3,1,0,2,0,3,2,0,0,0,0,0,Match Report
2017-10-22,Sun,La Liga,Matchweek 9,Home,W 3–0,Real Madrid,Eibar,Y,FW,90,0,0,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,Match Report
2017-10-29,Sun,La Liga,Matchweek 10,Away,L 1–2,Real Madrid,Girona,Y,FW,90,0,0,0,0,7,3,0,0,1,0,1,0,0,0,0,0,0,Match Report
2017-11-01,Wed,Champions Lg,Group stage,Away,L 1–3,es Real Madrid,eng Tottenham,Y,FW,90,1,0,0,0,7,5,0,0,0,0,0,1,0,0,0,0,0,Match Report
2017-11-05,Sun,La Liga,Matchweek 11,Home,W 3–0,Real Madrid,Las Palmas,Y,FW,90,0,1,0,0,8,1,0,0,0,1,5,4,0,0,0,0,0,Match Report
2017-11-18,Sat,La Liga,Matchweek 12,Away,D 0–0,Real Madrid,Atlético Madrid,Y,FW,90,0,0,0,0,7,2,0,0,1,3,0,2,0,0,0,0,0,Match Report
2017-11-21,Tue,Champions Lg,Group stage,Away,W 6–0,es Real Madrid,cy APOEL FC,Y,FW,90,2,1,0,0,8,3,0,0,1,2,0,1,0,0,0,0,0,Match Report
2017-11-25,Sat,La Liga,Matchweek 13,Home,W 3–2,Real Madrid,Málaga,Y,FW,90,1,0,0,1,7,4,0,0,0,1,4,0,0,1,,,,Match Report
2017-12-02,Sat,La Liga,Matchweek 14,Away,D 0–0,Real Madrid,Athletic Club,Y,FW,90,0,0,0,0,6,2,1,0,2,1,1,2,0,0,0,0,0,Match Report
2017-12-06,Wed,Champions Lg,Group stage,Home,W 3–2,es Real Madrid,de Dortmund,Y,FW,90,1,0,0,0,8,5,0,0,0,1,1,1,0,0,0,0,0,Match Report
2017-12-09,Sat,La Liga,Matchweek 15,Home,W 5–0,Real Madrid,Sevilla,Y,FW,75,2,0,1,1,5,3,0,0,0,0,0,1,0,1,0,0,0,Match Report
2017-12-23,Sat,La Liga,Matchweek 17,Home,L 0–3,Real Madrid,Barcelona,Y,FW,90,0,0,0,0,5,1,0,0,3,2,3,3,0,0,0,0,0,Match Report
2018-01-07,Sun,La Liga,Matchweek 18,Away,D 2–2,Real Madrid,Celta Vigo,Y,FW,90,0,0,0,0,5,3,0,0,0,1,1,0,1,1,0,0,0,Match Report
2018-01-13,Sat,La Liga,Matchweek 19,Home,L 0–1,Real Madrid,Villarreal,Y,FW,90,0,0,0,0,11,4,0,0,0,0,1,1,0,0,0,0,0,Match Report
2018-01-21,Sun,La Liga,Matchweek 20,Home,W 7–1,Real Madrid,Dep. La Coruña,Y,FW,84,2,1,0,0,7,3,0,0,2,0,3,2,1,1,0,0,0,Match Report
2018-01-27,Sat,La Liga,Matchweek 21,Away,W 4–1,Real Madrid,Valencia,Y,FW,90,2,0,2,2,7,4,0,0,3,2,0,1,0,0,0,1,0,Match Report
2018-02-03,Sat,La Liga,Matchweek 22,Away,D 2–2,Real Madrid,Levante,Y,FW,81,0,0,0,0,7,2,0,0,1,1,1,0,1,0,0,0,0,Match Report
2018-02-10,Sat,La Liga,Matchweek 23,Home,W 5–2,Real Madrid,Real Sociedad,Y,FW,90,3,1,0,0,7,3,0,0,1,0,1,2,0,0,0,0,0,Match Report
2018-02-14,Wed,Champions Lg,Round of 16,Home,W 3–1,es Real Madrid,fr PSG,Y,FW,90,2,0,1,1,10,4,0,0,0,0,2,0,1,2,0,0,0,Match Report
2018-02-18,Sun,La Liga,Matchweek 24,Away,W 5–3,Real Madrid,Real Betis,Y,FW,88,1,0,0,0,5,4,0,0,0,0,5,1,0,0,0,0,0,Match Report
2018-02-24,Sat,La Liga,Matchweek 25,Home,W 4–0,Real Madrid,Alavés,Y*,FW,90,2,0,0,0,8,4,0,0,0,0,2,0,0,1,0,0,0,Match Report
2018-03-03,Sat,La Liga,Matchweek 27,Home,W 3–1,Real Madrid,Getafe,Y,FW,78,2,0,0,0,4,3,0,0,1,1,3,1,0,0,0,0,0,Match Report
2018-03-06,Tue,Champions Lg,Round of 16,Away,W 2–1,es Real Madrid,fr PSG,Y,FW,90,1,1,0,0,4,1,0,0,1,0,1,0,0,0,0,0,0,Match Report
2018-03-10,Sat,La Liga,Matchweek 28,Away,W 2–1,Real Madrid,Eibar,Y,FW,90,2,0,0,0,6,4,0,0,0,0,1,0,0,1,0,0,0,Match Report
2018-03-18,Sun,La Liga,Matchweek 29,Home,W 6–3,Real Madrid,Girona,Y,FW,90,4,1,0,0,10,7,0,0,1,0,2,1,1,0,0,0,0,Match Report
2018-04-03,Tue,Champions Lg,Quarter-finals,Away,W 3–0,es Real Madrid,it Juventus,Y,FW,90,2,1,0,0,7,3,0,0,0,0,0,1,0,0,0,0,0,Match Report
2018-04-08,Sun,La Liga,Matchweek 31,Home,D 1–1,Real Madrid,Atlético Madrid,Y,FW,63,1,0,0,0,4,3,0,0,0,1,0,4,0,0,0,0,0,Match Report
2018-04-11,Wed,Champions Lg,Quarter-finals,Home,L 1–3,es Real Madrid,it Juventus,Y,FW,90,1,0,1,1,6,3,1,0,0,6,2,2,0,0,0,0,0,Match Report
