Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2013-08-18,Sun,La Liga,Matchweek 1,Home,W 2–1,Real Madrid,Real Betis,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2013-08-26,Mon,La Liga,Matchweek 2,Away,W 1–0,Real Madrid,Granada,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2013-09-01,Sun,La Liga,Matchweek 3,Home,W 3–1,Real Madrid,Athletic Club,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2013-09-14,Sat,La Liga,Matchweek 4,Away,D 2–2,Real Madrid,Villarreal,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2013-09-17,Tue,Champions Lg,Group stage,Away,W 6–1,es Real Madrid,tr Galatasaray,Y,,90,3,,0,,,,0,0,,,,,,,0,,,Match Report
2013-09-22,Sun,La Liga,Matchweek 5,Home,W 4–1,Real Madrid,Getafe,Y,,90,2,,1,,,,0,0,,,,,,,0,,,Match Report
2013-09-25,Wed,La Liga,Matchweek 6,Away,W 2–1,Real Madrid,Elche,Y,,90,2,,1,,,,1,0,,,,,,,0,,,Match Report
2013-09-28,Sat,La Liga,Matchweek 7,Home,L 0–1,Real Madrid,Atlético Madrid,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2013-10-02,Wed,Champions Lg,Group stage,Home,W 4–0,es Real Madrid,dk FC Copenhagen,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
2013-10-05,Sat,La Liga,Matchweek 8,Away,W 3–2,Real Madrid,Levante,Y,,90,1,,0,,,,1,0,,,,,,,0,,,Match Report
2013-10-19,Sat,La Liga,Matchweek 9,Home,W 2–0,Real Madrid,Málaga,Y,,90,1,,1,,,,0,0,,,,,,,0,,,Match Report
2013-10-23,Wed,Champions Lg,Group stage,Home,W 2–1,es Real Madrid,it Juventus,Y,,90,2,,1,,,,0,0,,,,,,,0,,,Match Report
2013-10-26,Sat,La Liga,Matchweek 10,Away,L 1–2,Real Madrid,Barcelona,Y,,90,0,,0,,,,1,0,,,,,,,0,,,Match Report
2013-10-30,Wed,La Liga,Matchweek 11,Home,W 7–3,Real Madrid,Sevilla,Y,,90,3,,1,,,,0,0,,,,,,,0,,,Match Report
2013-11-02,Sat,La Liga,Matchweek 12,Away,W 3–2,Real Madrid,Rayo Vallecano,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
2013-11-05,Tue,Champions Lg,Group stage,Away,D 2–2,es Real Madrid,it Juventus,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2013-11-09,Sat,La Liga,Matchweek 13,Home,W 5–1,Real Madrid,Real Sociedad,Y,,90,3,,1,,,,0,0,,,,,,,0,,,Match Report
2013-11-23,Sat,La Liga,Matchweek 14,Away,W 5–0,Real Madrid,Almería,Y,,52,1,,0,,,,0,0,,,,,,,0,,,Match Report
2013-12-10,Tue,Champions Lg,Group stage,Away,W 2–0,es Real Madrid,dk FC Copenhagen,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2013-12-14,Sat,La Liga,Matchweek 16,Away,D 2–2,Real Madrid,Osasuna,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2013-12-22,Sun,La Liga,Matchweek 17,Away,W 3–2,Real Madrid,Valencia,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2014-01-06,Mon,La Liga,Matchweek 18,Home,W 3–0,Real Madrid,Celta Vigo,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
2014-01-12,Sun,La Liga,Matchweek 19,Away,W 1–0,Real Madrid,Espanyol,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2014-01-18,Sat,La Liga,Matchweek 20,Away,W 5–0,Real Madrid,Real Betis,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2014-01-25,Sat,La Liga,Matchweek 21,Home,W 2–0,Real Madrid,Granada,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2014-02-02,Sun,La Liga,Matchweek 22,Away,D 1–1,Real Madrid,Athletic Club,Y,,74,0,,0,,,,0,1,,,,,,,0,,,Match Report
2014-02-26,Wed,Champions Lg,Round of 16,Away,W 6–1,es Real Madrid,de Schalke 04,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
2014-03-02,Sun,La Liga,Matchweek 26,Away,D 2–2,Real Madrid,Atlético Madrid,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2014-03-09,Sun,La Liga,Matchweek 27,Home,W 3–0,Real Madrid,Levante,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2014-03-15,Sat,La Liga,Matchweek 28,Away,W 1–0,Real Madrid,Málaga,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2014-03-18,Tue,Champions Lg,Round of 16,Home,W 3–1,es Real Madrid,de Schalke 04,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
2014-03-23,Sun,La Liga,Matchweek 29,Home,L 3–4,Real Madrid,Barcelona,Y,,90,1,,1,,,,1,0,,,,,,,0,,,Match Report
2014-03-26,Wed,La Liga,Matchweek 30,Away,L 1–2,Real Madrid,Sevilla,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2014-03-29,Sat,La Liga,Matchweek 31,Home,W 5–0,Real Madrid,Rayo Vallecano,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2014-04-02,Wed,Champions Lg,Quarter-finals,Home,W 3–0,es Real Madrid,de Dortmund,Y,,79,1,,0,,,,0,0,,,,,,,0,,,Match Report
2014-04-23,Wed,Champions Lg,Semi-finals,Home,W 1–0,es Real Madrid,de Bayern Munich,Y,,72,0,,0,,,,0,0,,,,,,,0,,,Match Report
2014-04-26,Sat,La Liga,Matchweek 35,Home,W 4–0,Real Madrid,Osasuna,Y,,60,2,,0,,,,0,0,,,,,,,0,,,Match Report
2014-04-29,Tue,Champions Lg,Semi-finals,Away,W 4–0,es Real Madrid,de Bayern Munich,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
2014-05-04,Sun,La Liga,Matchweek 36,Home,D 2–2,Real Madrid,Valencia,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2014-05-07,Wed,La Liga,Matchweek 34,Away,D 1–1,Real Madrid,Valladolid,Y,,7,0,,0,,,,0,0,,,,,,,0,,,Match Report
2014-05-24,Sat,Champions Lg,Final,Neutral,W 4–1,es Real Madrid,es Atlético Madrid,Y,,120,1,,1,,,,1,0,,,,,,,0,,,Match Report
