Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2016-09-10,Sat,La Liga,Matchweek 3,Home,W 5–2,Real Madrid,Osasuna,Y,FW,65,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,Match Report
2016-09-14,Wed,Champions Lg,Group stage,Home,W 2–1,es Real Madrid,pt Sporting CP,Y,FW,90,1,0,0,0,4,2,0,0,0,2,1,0,1,0,0,0,0,Match Report
2016-09-21,Wed,La Liga,Matchweek 5,Home,D 1–1,Real Madrid,Villarreal,Y,FW,90,0,0,0,0,4,2,1,0,3,1,1,1,0,0,0,0,0,Match Report
2016-09-24,Sat,La Liga,Matchweek 6,Away,D 2–2,Real Madrid,Las Palmas,Y,FW,71,0,0,0,0,6,1,0,0,1,0,1,0,0,0,0,0,0,Match Report
2016-09-27,Tue,Champions Lg,Group stage,Away,D 2–2,es Real Madrid,de Dortmund,Y,FW,90,1,0,0,0,6,3,0,0,0,2,1,2,1,0,0,0,0,Match Report
2016-10-02,Sun,La Liga,Matchweek 7,Home,D 1–1,Real Madrid,Eibar,Y,FW,90,0,1,0,0,8,2,0,0,0,2,2,2,0,1,0,0,0,Match Report
2016-10-15,Sat,La Liga,Matchweek 8,Away,W 6–1,Real Madrid,Real Betis,Y,FW,90,1,1,0,0,8,2,0,0,0,3,1,1,1,0,0,0,0,Match Report
2016-10-18,Tue,Champions Lg,Group stage,Home,W 5–1,es Real Madrid,pl Legia Warsaw,Y,FW,90,0,2,0,0,9,2,1,0,2,2,1,1,0,1,0,0,0,Match Report
2016-10-23,Sun,La Liga,Matchweek 9,Home,W 2–1,Real Madrid,Athletic Club,Y,FW,90,0,0,0,0,11,2,0,0,0,1,1,2,0,0,0,0,0,Match Report
2016-10-29,Sat,La Liga,Matchweek 10,Away,W 4–1,Real Madrid,Alavés,Y,FW,90,3,0,1,2,8,4,0,0,0,3,0,0,0,1,0,1,0,Match Report
2016-11-02,Wed,Champions Lg,Group stage,Away,D 3–3,es Real Madrid,pl Legia Warsaw,Y*,LW,90,0,1,0,0,9,2,0,0,2,0,0,1,0,0,0,0,0,Match Report
2016-11-06,Sun,La Liga,Matchweek 11,Home,W 3–0,Real Madrid,Leganés,Y,FW,90,0,0,0,0,3,0,1,0,1,1,2,1,0,0,0,0,0,Match Report
2016-11-19,Sat,La Liga,Matchweek 12,Away,W 3–0,Real Madrid,Atlético Madrid,Y,FW,82,3,0,1,1,5,5,1,0,1,3,1,0,1,0,0,1,0,Match Report
2016-11-22,Tue,Champions Lg,Group stage,Away,W 2–1,es Real Madrid,pt Sporting CP,Y,FW,90,0,1,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,Match Report
2016-11-26,Sat,La Liga,Matchweek 13,Home,W 2–1,Real Madrid,Sporting Gijón,Y,AM,90,2,0,1,1,7,5,0,0,0,4,1,4,0,0,0,0,0,Match Report
2016-12-03,Sat,La Liga,Matchweek 14,Away,D 1–1,Real Madrid,Barcelona,Y,FW,90,0,0,0,0,6,3,0,0,1,1,0,0,0,0,0,0,0,Match Report
2016-12-07,Wed,Champions Lg,Group stage,Home,D 2–2,es Real Madrid,de Dortmund,Y,FW,90,0,0,0,0,3,1,0,0,1,1,1,1,1,1,0,0,0,Match Report
2017-01-07,Sat,La Liga,Matchweek 17,Home,W 5–0,Real Madrid,Granada,Y,FW,90,1,0,0,0,5,2,0,0,0,2,0,1,0,1,0,0,0,Match Report
2017-01-15,Sun,La Liga,Matchweek 18,Away,L 1–2,Real Madrid,Sevilla,Y,FW,90,1,0,1,1,5,3,0,0,2,2,1,1,0,1,0,0,0,Match Report
